-30 8
-20 18
14 0
-23 21
-8 2
-38 -30
-26 -26
33 9
5 -33
28 18
-8 56
42 22
3 27
-13 -71
15 -15
24 48
-11 -23
31 61
-2 -6
-29 11
3 -27
22 -6
25 -27
13 11
-29 -27
47 1
-25 -31
0 -22
-14 -4
21 -13
19 -11
-4 -36
0 -12
5 -1
-13 25
8 42
-52 20
-11 -1
-2 -12
41 9
0 -26
29 7
53 9
-12 12
6 12
-9 1
-5 17
-19 -3
-14 -24
33 -41
-14 -46
-22 -40
-17 31
41 -41
4 -40
27 -53
-7 21
45 -7
17 -9
34 14
10 -40
3 1
40 -26
-28 4
7 15
22 -14
-12 40
-27 1
2 -28
6 -20
-5 -25
-44 -38
-11 31
14 -24
8 0
-5 -11
21 9
42 2
-23 13
8 -22
15 13
-29 33
-10 30
8 -12
-1 39
-30 -32
2 -18
-31 -19
-31 39
18 -14
1 -7
-2 -14
-2 30
38 -12
-6 4
-25 -11
-19 -17
-35 7
10 -28
16 10
44 10
-39 -3
17 69
6 -12
-29 1
-14 4
44 -20
-8 4
-60 -4
-13 -23
-24 8
-30 4
13 -13
31 -5
-14 2
-35 17
1 29
-3 1
